LOCATION,POWER,SELF-PROTECTION,Average earth discharge density DDT [Rays/km^2-año],Maximum ground discharge density DDT [Rays/km^2-año],Burning rate  [Failures/year],Criticality according to previous study for ceramics level,Removable connectors,Type of clients,Number of users,Electric power not supplied EENS [kWh] ,Type of installation,Air network,Circuit Queue,km of network LT:,Burned transformers 2019
0,15,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,6,243,POLE,1,0,0.31004,1
0,5,0,5.259562842,11.9,0.2500,1,1,STRATUM 1,4,81,POLE,1,1,0.42836,0
0,10,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,1,162,POLE,1,1,0.8449,0
0,30,0,4.14853229,8.3,0.2500,1,1,STRATUM 1,25,486,POLE,1,0,0.66714,0
0,75,0,4.14853229,8.3,0.0000,1,0,STRATUM 2,1,1328.4,EN H,1,0,0.5412,0
0,25,1,4.14853229,8.3,0.2500,1,1,STRATUM 1,37,405,POLE,1,0,"11,923",1
0,10,1,1.351332603,6.1,0.2500,0,1,STRATUM 1,4,162,POLE,1,0,0.92838,0
0,37.5,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,53,739.8,POLE,1,0,"25,054",0
0,75,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,56,1579.5,POLE WITH ANTI-FRAUD NET,1,0,"125,506",0
0,25,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,37,594,POLE,1,0,"143,563",0
0,37.5,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,41,866.7,POLE,1,0,0.58213,0
0,37.5,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,45,769.5,POLE,1,0,0.34,0
0,37.5,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,47,769.5,POLE,1,0,0.23511,0
0,25,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,20,594,POLE,1,0,"134,636",0
0,15,0,1.351332603,6.1,0.5000,1,1,STRATUM 1,25,243,POLE,1,0,"144,165",0
0,25,0,1.351332603,6.1,0.0000,1,0,STRATUM 1,46,548.1,POLE,1,1,0.98801,0
0,5,0,1.351332603,6.1,0.5000,1,1,STRATUM 1,6,81,POLE,1,0,"172,018",0
0,15,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,9,599.4,POLE,1,0,0.10677,0
0,15,0,0.321040462,1.3,0.2500,0,1,STRATUM 1,34,243,POLE,1,0,"210,518",0
0,25,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,16,529.2,POLE,1,0,0.74537,0
0,5,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,5,189,POLE,1,0,0.411,0
0,25,0,0,0,0.0000,1,1,STRATUM 1,25,405,POLE,1,0,"114,766",0
1,25,0,0,0,0.2500,0,1,STRATUM 2,14,405,POLE,1,0,0.25962,0
0,25,0,0,0,0.0000,1,1,STRATUM 1,23,405,POLE,1,0,0.7008,0
0,37.5,0,3.15560166,6.6,0.0000,0,0,STRATUM 1,25,1226.7,POLE,1,0,0.43376,0
0,15,0,1.039696312,4.3,0.0000,0,1,STRATUM 1,13,243,POLE,1,0,"174,139",0
0,15,0,3.15560166,6.6,0.0000,0,0,STRATUM 1,37,434.7,POLE,1,1,"121,654",0
0,45,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,80,945,POLE,1,0,"134,482",0
0,10,1,3.15560166,6.6,0.2500,0,1,STRATUM 1,14,162,POLE,1,1,"128,003",0
0,10,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,7,162,POLE,1,1,0.4713,0
0,10,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,3,302.4,POLE,1,1,0.59005,0
0,25,0,0.734042553,2.1,0.0000,0,0,STRATUM 1,3,486,POLE,1,1,0.40248,0
0,15,0,0.734042553,2.1,0.5000,0,1,STRATUM 1,6,243,POLE,1,0,"122,868",0
0,5,0,0,0,0.7500,1,1,STRATUM 1,4,81,POLE,1,1,0.65495,0
0,5,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,2,102.6,POLE,1,1,0.36796,0
0,10,0,4.86888454,11.7,0.0000,1,0,STRATUM 1,5,329.4,POLE,1,1,0.97137,0
0,37.5,0,5.259562842,11.9,0.2500,1,1,STRATUM 1,49,607.5,EN H,1,0,"191,369",0
0,5,0,1.268421053,3.2,0.2500,1,1,STRATUM 1,5,81,POLE,1,1,"17,644",0
1,112.5,0,0,0,0.0000,0,1,STRATUM 2,129,1822.5,POLE,1,0,0.5694,0
0,25,0,0.888588008,3.6,0.0000,0,1,STRATUM 1,13,405,POLE,1,0,"125,686",0
0,25,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,9,507.6,POLE,1,0,0.90451,0
0,15,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,6,345.6,POLE,1,0,0.56773,0
0,15,0,1.181623932,4,0.0000,0,0,STRATUM 1,5,356.4,POLE,1,0,0.51761,0
0,15,0,1.268421053,3.2,0.0000,1,0,STRATUM 1,11,369.9,POLE,1,0,"12,465",0
0,10,0,5.259562842,11.9,0.0000,1,1,STRATUM 1,6,162,POLE,1,0,0.844,0
0,10,0,1.268421053,3.2,0.0000,1,0,STRATUM 1,9,162,POLE,1,1,"114,839",0
0,15,0,3.15560166,6.6,0.0000,0,0,STRATUM 2,4,275.4,POLE,1,1,0.94438,0
0,15,0,3.15560166,6.6,0.0000,0,0,STRATUM 5,1,275.4,POLE,1,0,0.29105,0
0,25,0,3.15560166,6.6,0.0000,0,0,STRATUM 2,13,550.8,POLE,1,0,0.32292,0
0,15,0,3.15560166,6.6,0.0000,0,0,STRATUM 1,14,388.8,POLE,1,0,"15,492",0
0,15,0,3.15560166,6.6,0.2500,0,1,STRATUM 1,7,243,POLE,1,0,"15,165",0
0,5,0,3.15560166,6.6,0.0000,0,0,STRATUM 1,6,226.8,POLE,1,0,"11,953",0
0,5,1,5.259562842,11.9,0.5000,1,1,STRATUM 1,6,81,POLE,1,0,"116,161",0
0,10,0,5.259562842,11.9,0.2500,1,1,STRATUM 1,8,162,POLE,1,0,"133,515",0
0,15,0,0,0,0.2500,1,1,STRATUM 1,39,243,POLE,1,0,"121,628",0
0,15,0,0,0,0.5000,1,1,STRATUM 1,16,243,POLE,1,0,0.78996,0
0,10,0,0,0,0.0000,1,1,STRATUM 1,7,162,POLE,1,0,0.2577,0
0,25,0,0,0,0.0000,1,0,STRATUM 1,26,710.1,POLE,1,0,0.77442,0
0,37.5,0,0,0,0.0000,1,1,STRATUM 1,40,607.5,POLE,1,0,"143,834",0
0,15,0,0,0,0.0000,1,0,STRATUM 1,2,324,POLE,1,0,0.2836,0
0,15,0,0,0,0.2500,1,1,STRATUM 1,24,243,POLE,1,0,"141,241",0
0,10,0,0,0,0.0000,1,1,STRATUM 1,9,162,POLE,1,0,0.73268,0
0,25,0,0,0,0.0000,1,0,STRATUM 1,18,486,POLE,1,0,"124,464",0
0,15,0,0,0,0.0000,1,0,STRATUM 1,13,548.1,POLE,1,0,0.59461,0
0,10,1,6.227631579,12.5,0.2500,0,1,STRATUM 1,10,162,POLE,1,0,0.99208,0
0,25,0,6.227631579,12.5,0.0000,0,0,INDUSTRIAL,1,4331.7,POLE,1,0,0.7434,0
1,37.5,0,0.408002208,2,0.0000,0,1,STRATUM 1,33,607.5,POLE,1,0,0.18425,0
0,10,0,4.14853229,8.3,0.0000,0,0,STRATUM 1,3,272.7,POLE,1,1,0,0
1,112.5,0,2.170157068,4.4,0.0000,0,1,STRATUM 2,89,1822.5,EN H,1,1,0.41312,0
1,75,0,2.170157068,4.4,0.0000,0,1,STRATUM 2,92,1215,POLE,1,1,0.54747,0
0,15,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,5,270,POLE,1,1,"1,284",0
1,112.5,0,2.170157068,4.4,0.0000,0,1,STRATUM 2,66,1822.5,POLE,1,1,0.33412,0
0,45,0,4.14853229,8.3,0.2500,0,1,STRATUM 2,4,729,POLE,1,1,1.94,0
0,10,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,5,221.4,POLE,1,1,"122,329",0
0,37.5,0,0,0,0.0000,1,1,STRATUM 1,43,607.5,POLE,1,0,0.84443,0
0,15,0,5.259562842,11.9,0.2500,1,1,STRATUM 1,11,243,POLE,1,1,"114,023",0
1,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,71,1215,POLE,1,0,0.14999,0
0,50,0,4.14853229,8.3,0.0000,0,0,STRATUM 1,21,945,POLE WITH ANTI-FRAUD NET,1,0,0.54614,0
1,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,62,1215,POLE,1,0,0.12852,0
1,112.5,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,67,1822.5,POLE,1,1,0.15897,0
1,112.5,0,4.14853229,8.3,0.0000,0,1,STRATUM 1,212,1822.5,POLE WITH ANTI-FRAUD NET,1,1,"125,264",0
1,45,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,54,729,POLE,1,1,0.17478,0
1,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,89,1215,POLE,1,0,0.33946,0
1,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,57,1215,POLE,1,0,0.1546,0
1,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,167,1215,POLE,1,0,0.49647,0
0,45,0,1.039696312,4.3,0.0000,1,1,STRATUM 2,12,729,POLE,1,0,0.20986,0
0,45,1,1.039696312,4.3,0.0000,1,0,STRATUM 2,17,934.2,POLE,1,1,0.23607,0
1,25,0,0.408002208,2,0.0000,0,1,STRATUM 1,32,405,POLE,1,0,"11,198",0
0,15,0,0.408002208,2,0.0000,0,0,STRATUM 1,6,243,POLE,1,0,0.68663,0
0,15,0,0.734042553,2.1,0.0000,0,0,STRATUM 1,5,415.8,POLE,1,1,0.88429,0
0,10,0,1.351332603,6.1,0.0000,1,0,STRATUM 1,19,243,POLE,1,1,"270,046",0
0,15,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,18,243,POLE,1,1,"243,472",0
0,10,0,0.888588008,3.6,0.0000,1,0,STRATUM 1,15,243,POLE,1,0,"288,457",0
0,10,0,2.160301508,4.9,0.7500,1,1,STRATUM 1,6,162,POLE,1,0,0.74583,0
0,15,0,0.888588008,3.6,0.0000,1,0,STRATUM 1,17,418.5,POLE,1,0,"16,325",0
0,25,0,0.888588008,3.6,0.0000,1,0,STRATUM 1,18,486,POLE,1,0,"114,432",0
0,10,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,9,364.5,POLE,1,0,0.31289,0
0,15,0,1.539884393,4.2,0.0000,1,1,STRATUM 1,41,243,POLE,1,0,"224,951",0
0,5,0,1.539884393,4.2,0.0000,0,0,STRATUM 1,4,140.4,POLE,1,1,0.76071,0
0,10,0,0.888588008,3.6,0.0000,0,1,STRATUM 1,5,162,POLE,1,1,"12,324",0
0,10,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,1,259.2,POLE,1,1,0.63636,0
0,10,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,12,259.2,POLE,1,1,"146,048",0
0,25,0,0.717021277,2.5,0.5000,1,1,STRATUM 1,34,405,POLE,1,1,"382,996",0
0,25,0,0.717021277,2.5,0.0000,1,0,STRATUM 1,37,405,POLE,1,1,"212,423",0
0,10,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,8,162,POLE,1,0,"161,403",0
0,10,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,8,162,POLE,1,0,"171,976",0
0,45,0,1.351332603,6.1,0.0000,0,0,INDUSTRIAL,2,1485,POLE,1,0,0.27476,0
0,15,0,1.351332603,6.1,0.2500,0,1,STRATUM 1,5,243,POLE,1,0,0.52648,0
0,25,0,1.539884393,4.2,0.0000,0,0,STRATUM 1,27,513,POLE,1,1,"161,166",0
0,25,0,1.539884393,4.2,0.0000,1,0,STRATUM 1,26,448.2,POLE,1,1,"120,278",0
0,15,0,0,0,0.0000,1,0,STRATUM 1,13,382.5,POLE,1,1,"1,624",0
0,10,0,4.86888454,11.7,0.0000,1,0,STRATUM 1,1,361.8,POLE,1,1,0.16796,1
0,25,0,5.259562842,11.9,0.0000,1,1,STRATUM 1,71,405,POLE,1,1,0.75174,0
0,10,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,13,270.9,POLE,1,1,0.78401,0
0,10,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,9,272.7,POLE,1,1,0.87691,0
0,10,1,4.86888454,11.7,0.0000,1,0,STRATUM 1,5,334.8,POLE,1,1,0.62741,1
0,37.5,0,3.850980392,6.1,0.0000,0,0,STRATUM 1,43,781.2,POLE,1,0,0.51438,0
0,15,0,3.850980392,6.1,0.0000,0,0,STRATUM 1,13,313.2,POLE,1,0,0.81409,0
0,15,0,3.850980392,6.1,0.0000,0,0,STRATUM 1,1,416.7,POLE WITH ANTI-FRAUD NET,1,0,0,0
0,25,0,3.850980392,6.1,0.0000,0,0,STRATUM 1,32,578.7,POLE,1,0,0.67933,0
0,15,0,0.645050215,2.4,0.0000,0,0,STRATUM 1,23,264.6,POLE,1,1,"143,728",0
0,15,0,2.822097378,6.8,0.0000,0,0,STRATUM 1,12,372.6,POLE,1,1,0.52663,0
0,10,0,4.14853229,8.3,0.0000,1,0,STRATUM 1,12,226.8,POLE,1,1,0.90858,0
0,15,0,4.86888454,11.7,0.0000,0,0,STRATUM 1,7,480.6,POLE,1,0,0.64606,0
0,25,0,4.86888454,11.7,0.0000,1,0,STRATUM 1,23,677.7,POLE,1,0,"191,512",0
0,10,1,4.86888454,11.7,0.7500,1,1,STRATUM 1,11,162,POLE,1,0,"118,193",0
0,37.5,0,1.351332603,6.1,0.0000,0,0,INDUSTRIAL,10,1741.5,POLE,1,0,0.71356,0
0,15,0,1.351332603,6.1,0.2500,0,1,STRATUM 1,5,243,POLE,1,0,"236,736",0
0,15,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,9,513,POLE,1,0,"15,049",0
0,5,0,1.351332603,6.1,0.7500,0,1,STRATUM 1,4,81,EN H,1,0,0.67779,0
0,15,0,1.06440678,2.6,0.0000,0,0,STRATUM 1,20,367.2,POLE,1,0,0.79767,0
0,10,0,1.06440678,2.6,0.2500,0,1,STRATUM 1,11,162,POLE,1,0,0.13686,0
0,15,0,1.06440678,2.6,0.2500,0,1,STRATUM 1,14,243,POLE,1,0,0.96902,0
0,10,0,1.06440678,2.6,0.0000,0,0,STRATUM 1,7,243,POLE,1,0,0.85792,0
0,5,0,5.259562842,11.9,0.0000,1,1,STRATUM 1,10,81,POLE,1,1,0.47735,0
0,10,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,6,226.8,POLE,1,1,0.58595,0
0,25,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,10,432,POLE,1,1,"16,241",0
0,10,0,0.426181102,2.1,0.0000,0,0,STRATUM 1,8,334.8,POLE,1,1,"178,715",0
0,10,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,4,232.2,POLE,1,1,0.93323,0
0,10,1,0,0,0.2500,1,1,STRATUM 1,13,162,POLE,1,1,0.92178,0
0,25,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,22,602.1,POLE,1,0,"214,751",0
0,15,0,0.717021277,2.5,0.0000,0,0,STRATUM 1,7,318.6,POLE,1,0,0.60579,0
0,25,1,0.995151515,3.5,0.5000,0,1,STRATUM 1,27,405,POLE,1,0,0.70075,0
0,75,0,0.995151515,3.5,0.0000,0,0,STRATUM 1,55,1524.6,POLE,1,0,0.22197,0
0,15,0,4.86888454,11.7,0.0000,1,0,STRATUM 1,4,518.4,POLE,1,1,0.49424,0
0,5,0,4.86888454,11.7,0.0000,0,0,STRATUM 1,4,356.4,POLE,1,1,0.43783,0
0,15,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,3,302.4,POLE,1,1,"145,603",0
0,10,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,3,248.4,POLE,1,1,0.66724,0
0,10,1,5.259562842,11.9,0.2500,1,1,STRATUM 1,11,162,POLE,1,1,"14,867",0
0,10,0,0.426181102,2.1,0.0000,0,0,STRATUM 1,4,334.8,POLE,1,1,"133,909",0
0,25,0,4.86888454,11.7,0.0000,1,0,STRATUM 1,15,534.6,POLE,1,1,0.9086,0
0,10,0,4.86888454,11.7,0.2500,1,1,STRATUM 1,1,162,POLE,1,1,0.9875,1
0,10,1,4.86888454,11.7,0.0000,1,0,STRATUM 1,9,313.2,POLE,1,0,"111,681",1
0,15,0,4.86888454,11.7,0.0000,1,1,STRATUM 1,14,243,POLE,1,0,"123,917",0
0,25,0,4.86888454,11.7,0.0000,1,1,STRATUM 1,27,405,POLE,1,0,"139,269",0
0,5,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,11,194.4,POLE,1,1,0.76581,0
1,75,0,0.503331385,4.9,0.0000,0,1,STRATUM 1,70,1215,POLE,1,0,0.98482,0
0,25,0,2.822097378,6.8,0.0000,0,0,STRATUM 1,43,540,POLE,1,0,0.52409,0
0,10,1,0.645050215,2.4,0.2500,0,1,STRATUM 1,3,162,POLE,1,1,0.77037,0
1,112.5,0,2.170157068,4.4,0.0000,0,1,STRATUM 2,108,1822.5,POLE,1,0,0.41083,0
1,75,0,2.170157068,4.4,0.2500,0,1,STRATUM 2,89,1215,POLE,1,1,0.34893,0
0,10,1,0.995151515,3.5,0.5000,0,1,STRATUM 1,21,162,POLE,1,0,0.83938,0
0,10,0,0.503331385,4.9,0.0000,0,0,STRATUM 1,11,375.3,POLE,1,1,0.79672,0
0,25,0,0.503331385,4.9,0.0000,0,0,STRATUM 1,20,688.5,POLE,1,1,0.75737,0
0,15,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,21,318.6,POLE,1,1,"224,139",0
0,25,1,2.822097378,6.8,0.2500,0,1,STRATUM 1,26,405,POLE,1,0,0.24211,0
0,15,0,0,0,0.0000,0,0,STRATUM 1,21,340.2,POLE,1,1,0.60495,0
0,10,1,1.039696312,4.3,0.2500,0,1,STRATUM 1,8,162,POLE,1,1,"11,517",0
0,15,1,5.259562842,11.9,0.0000,1,0,STRATUM 1,13,394.2,POLE,1,0,"11,396",1
0,10,1,5.259562842,11.9,0.2500,1,1,STRATUM 1,9,162,POLE,1,0,"133,155",1
0,10,1,5.259562842,11.9,0.2500,1,1,STRATUM 1,10,162,POLE,1,0,0.88763,0
0,10,0,1.539884393,4.2,0.0000,1,0,STRATUM 1,6,189,POLE,1,1,0.87717,0
0,15,0,0.398812352,1.4,0.0000,0,0,STRATUM 1,9,653.4,POLE,1,1,0.83142,0
0,15,0,1.181623932,4,0.0000,0,0,STRATUM 1,26,512.1,POLE,1,1,0.24138,0
1,75,0,0,0,0.0000,0,1,STRATUM 2,183,1215,POLE,1,0,0.76787,0
0,15,1,6.227631579,12.5,0.5000,0,1,STRATUM 1,12,243,OTROS,1,1,"129,606",1
0,25,0,6.227631579,12.5,0.0000,0,0,STRATUM 1,29,1141.2,POLE,1,1,0.53148,0
0,25,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,21,491.4,POLE,1,0,"115,937",0
0,10,0,6.818166667,17.6,0.2500,0,1,STRATUM 1,10,162,POLE,1,0,"178,764",0
0,5,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,3,81,POLE,1,1,0.60826,0
0,15,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,26,243,POLE,1,0,0.81653,0
0,15,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,11,243,POLE,1,0,0.85056,0
0,15,0,1.351332603,6.1,0.5000,1,1,STRATUM 1,32,243,POLE,1,0,"259,246",0
0,5,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,1,81,POLE,1,0,0.33493,0
0,15,0,2.160301508,4.9,0.0000,1,1,STRATUM 1,20,243,POLE,1,1,0.99381,0
0,15,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,18,430.2,POLE,1,0,"11,263",0
0,15,0,5.259562842,11.9,0.0000,1,0,STRATUM 1,18,315.9,POLE,1,0,"123,262",0
0,25,0,4.14853229,8.3,0.2500,1,1,STRATUM 1,32,405,POLE,1,0,0.83317,0
0,15,0,1.351332603,6.1,0.0000,1,0,STRATUM 1,11,415.8,POLE,1,1,0.8265,0
0,10,1,1.351332603,6.1,1.0000,1,1,STRATUM 1,6,162,POLE,1,1,0.716,1
0,25,0,2.140720222,6.2,0.0000,0,0,STRATUM 1,13,685.8,POLE,1,1,0.62311,0
0,25,0,2.140720222,6.2,0.2500,0,1,STRATUM 1,17,405,POLE,1,1,"241,105",0
0,10,0,2.140720222,6.2,0.0000,0,0,STRATUM 1,2,162,POLE,1,1,0.36553,0
0,5,0,0.717021277,2.5,0.5000,0,1,STRATUM 1,2,81,POLE,1,1,"244,167",0
0,15,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,14,243,POLE,1,0,"142,815",0
0,5,0,1.033279483,3.2,0.0000,0,0,STRATUM 2,3,178.2,POLE,1,0,0.43058,0
0,10,0,4.86888454,11.7,0.0000,1,1,STRATUM 1,11,162,POLE,1,1,0.89637,0
0,37.5,0,3.108256881,5.6,0.0000,0,0,STRATUM 1,1,702,POLE,1,1,0.33527,0
0,10,0,1.351332603,6.1,0.0000,1,0,STRATUM 1,6,334.8,POLE,1,1,0.90201,0
0,25,0,2.822097378,6.8,0.0000,0,0,STRATUM 1,23,828.9,POLE,1,0,0.77918,0
0,10,0,0.734042553,2.1,0.2500,0,1,STRATUM 1,26,162,POLE,1,0,"172,942",0
0,15,0,3.425714286,5.3,0.0000,0,0,STRATUM 1,6,299.7,POLE,1,0,0.95564,0
0,50,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,116,1169.1,POLE,1,0,0.5197,0
0,10,0,0.645050215,2.4,0.0000,0,0,STRATUM 1,2,302.4,POLE,1,0,0.50176,0
0,37.5,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,46,607.5,POLE,1,0,"238,862",0
1,75,0,2.170157068,4.4,0.0000,0,1,STRATUM 2,113,1215,POLE,1,0,0.48809,0
0,45,0,1.2875,2.5,0.0000,0,0,INDUSTRIAL,1,1533.6,POLE,1,0,0,0
0,10,1,1.2875,2.5,0.0000,0,0,STRATUM 1,11,172.8,POLE,1,0,0.37795,0
0,15,0,1.2875,2.5,0.0000,0,0,STRATUM 1,24,324,POLE,1,0,0.68683,0
0,10,0,1.2875,2.5,0.0000,0,0,STRATUM 1,17,199.8,POLE,1,0,"138,872",0
0,15,0,1.2875,2.5,0.0000,0,0,STRATUM 1,6,447.3,POLE,1,0,0.70257,0
0,10,0,1.2875,2.5,0.0000,0,0,STRATUM 1,6,366.3,POLE,1,0,"19,254",0
1,75,0,1.2875,2.5,0.0000,0,1,STRATUM 1,83,1215,POLE,1,0,0.41015,0
0,5,0,1.2875,2.5,0.2500,0,1,STRATUM 1,4,81,POLE,1,0,"13,469",0
0,10,1,1.2875,2.5,1.2500,0,1,STRATUM 1,10,162,POLE,1,0,"197,261",0
0,25,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,38,604.8,POLE,1,0,"240,507",0
0,25,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,50,828.9,POLE,1,0,0.71586,0
0,10,1,0.888588008,3.6,0.5000,0,1,STRATUM 1,11,162,POLE,1,1,"2,753",1
0,75,0,4.14853229,8.3,0.0000,0,1,STRATUM 2,172,1215,POLE,1,1,0.82728,0
0,15,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,20,421.2,POLE,1,1,0.88005,0
0,25,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,9,459,POLE,1,1,"161,816",0
0,15,0,0.995151515,3.5,0.0000,0,0,STRATUM 1,1,666.9,POLE,1,0,0,0
0,10,1,0.995151515,3.5,0.2500,0,1,STRATUM 1,48,162,POLE,1,0,0.69474,0
0,10,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,5,224.1,POLE,1,1,"154,402",0
0,5,1,6.227631579,12.5,0.2500,0,1,STRATUM 1,4,81,POLE,1,0,0.55111,1
0,25,0,6.227631579,12.5,0.0000,0,0,STRATUM 1,21,718.2,POLE,1,1,"110,808",0
0,25,0,5.259562842,11.9,0.0000,1,1,STRATUM 1,9,405,POLE,1,0,"23,179",0
0,25,0,0.888588008,3.6,0.2500,0,1,STRATUM 1,25,405,EN H,1,1,"227,508",0
0,37.5,0,0.888588008,3.6,0.0000,0,0,STRATUM 1,38,729,POLE,1,1,"189,104",0
0,25,0,4.14853229,8.3,0.0000,0,0,STRATUM 1,10,405,POLE,1,1,0.72893,0
0,5,0,1.033279483,3.2,0.2500,0,1,STRATUM 1,6,81,POLE,1,1,0.45345,0
0,25,0,1.039696312,4.3,0.0000,0,0,STRATUM 1,13,502.2,POLE,1,1,"185,568",0
0,15,0,4.86888454,11.7,0.0000,1,1,STRATUM 1,3,243,EN H,1,1,0.7688,0
0,5,0,4.86888454,11.7,0.7500,1,1,STRATUM 1,8,81,POLE,1,1,"150,222",0
0,15,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,15,329.4,POLE,1,1,0.88475,0
0,25,0,1.033279483,3.2,0.0000,0,0,STRATUM 1,18,597.6,POLE,1,1,0.73084,0
0,37.5,0,1.351332603,6.1,0.0000,1,0,STRATUM 1,39,703.8,POLE,1,1,"167,523",0
0,50,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,19,810,POLE,1,1,"170,748",0
0,37.5,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,91,688.5,POLE,1,1,"128,159",0
0,10,0,1.268421053,3.2,0.0000,0,0,STRATUM 1,5,226.8,POLE,1,1,0.64,0
0,15,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,4,289.8,POLE,1,0,0.62344,0
0,112.5,0,1.351332603,6.1,0.0000,0,0,STRATUM 1,185,2187,POLE WITH ANTI-FRAUD NET,1,0,"119,297",0
0,15,0,0.503331385,4.9,0.0000,0,0,STRATUM 1,4,259.2,POLE,1,1,0.16443,0
0,37.5,0,0.503331385,4.9,0.0000,0,0,STRATUM 1,40,718.2,POLE,1,1,0.37547,0
0,10,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,17,221.4,POLE,1,1,"26,429",0
0,25,0,0.321040462,1.3,0.0000,0,0,STRATUM 1,14,491.4,POLE,1,0,0.74566,0
0,10,0,1.2875,2.5,0.2500,1,1,STRATUM 1,7,162,POLE,1,0,"110,864",0
0,15,0,5.259562842,11.9,0.2500,1,1,STRATUM 1,13,243,POLE,1,0,"197,659",0
0,5,0,6.818166667,17.6,0.0000,0,0,STRATUM 1,21,151.2,POLE,1,0,0.90647,0
0,10,0,4.14853229,8.3,0.2500,0,1,STRATUM 1,12,162,POLE,1,0,"140,327",0
0,15,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,20,243,POLE,1,1,"1,838",0
0,15,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,15,243,POLE,1,1,"138,452",0
0,5,0,1.351332603,6.1,0.2500,1,1,STRATUM 1,4,81,POLE,1,0,0.39092,0
0,25,0,1.351332603,6.1,0.0000,1,1,STRATUM 1,30,405,POLE,1,1,"179,969",0
0,10,0,5.259562842,11.9,0.5000,1,1,STRATUM 1,6,162,POLE,1,0,0.86467,0
0,25,1,5.259562842,11.9,0.2500,1,1,STRATUM 1,22,405,POLE,1,0,"140,666",0
0,25,0,0,0,0.0000,1,0,STRATUM 1,25,529.2,POLE,1,1,0.76047,0
0,10,0,4.14853229,8.3,0.0000,0,0,STRATUM 1,8,232.2,POLE,1,1,"114,265",0
1,37.5,0,0,0,0.0000,0,1,OFFICIAL,1,1012.5,POLE,1,0,0,0
1,75,0,0,0,0.0000,0,1,STRATUM 1,139,1215,POLE,1,0,0.48257,0
0,30,0,0.995151515,3.5,0.0000,0,0,OFFICIAL,1,996.3,POLE,1,0,0,0
