LOCATION,POWER,SELF-PROTECTION,Average earth discharge density DDT [Rays/km^2-año],Maximum ground discharge density DDT [Rays/km^2-año],Burning rate  [Failures/year],Criticality according to previous study for ceramics level,Removable connectors,Type of clients,Number of users,Electric power not supplied EENS [kWh] ,Type of installation,Air network,Circuit Queue,km of network LT:,Burned transformers 2019
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,61,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20768,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,104,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.24196,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,34,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20012,0
1,45,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,17,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.6717,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,85,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.54353,0
1,15,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,1,243,POLE,1,1,0,0
1,50,0,3.15560166,6.6,0.0000,0,1,STRATUM 1,143,810,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.85701,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,30,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20904,0
1,45,0,3.15560166,6.6,0.0000,0,1,STRATUM 5,45,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20639,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,60,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.28252,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,51,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20504,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,36,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20816,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,17,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.9213,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,120,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.5236,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,23,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.10244,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 1,27,1215,POLE WITH ANTI-FRAUD NET,1,1,0.14071,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,67,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.17034,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,55,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.24508,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,146,1822.5,POLE WITH ANTI-FRAUD NET,1,0,0.34724,1
1,30,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,8,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0,0
1,75,0,3.15560166,6.6,0.0000,0,1,COMMERCIAL,146,2025,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.53825,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,26,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.8657,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,34,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.11468,0
1,30,0,3.15560166,6.6,0.0000,0,1,COMMERCIAL,1,810,POLE WITH ANTI-FRAUD NET,1,0,0.13458,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,35,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.12505,0
1,15,0,3.15560166,6.6,0.0000,0,1,COMMERCIAL,1,405,POLE,1,0,0,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,42,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.27938,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,57,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.37551,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,32,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.5849,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,56,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25414,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,36,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25974,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,45,1822.5,EN H,1,0,0.61165,0
1,45,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,18,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.6063,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,191,1822.5,EN H,1,0,0.29602,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,106,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20565,0
